date,daily_sales,orders,avg_order_value,primary_category,marketing_spend,seasonal_multiplier,growth_factor,weekday,month,year,revenue_per_marketing,is_weekend,day_of_week,week_of_year,quarter
2021-01-01,2864.68,45,63.66,clothing,109.87,0.8,1.0,Friday,January,2021,26.073359424774733,False,Friday,53,1
2021-01-02,2719.67,45,60.44,clothing,110.11,0.92,1.0,Saturday,January,2021,24.69957315411861,True,Saturday,53,1
2021-01-03,2569.2,46,55.85,clothing,79.12,0.92,1.001,Sunday,January,2021,32.47219413549039,True,Sunday,53,1
2021-01-04,2627.46,37,71.01,accessories,95.61,0.8,1.001,Monday,January,2021,27.481016630059617,False,Monday,1,1
2021-01-05,2388.63,40,59.72,accessories,67.05,0.8,1.002,Tuesday,January,2021,35.62460850111857,False,Tuesday,1,1
2021-01-06,2353.18,36,65.37,home_goods,62.2,0.8,1.002,Wednesday,January,2021,37.83247588424437,False,Wednesday,1,1
2021-01-07,2728.18,52,52.47,home_goods,102.01,0.8,1.002,Thursday,January,2021,26.744240760709733,False,Thursday,1,1
2021-01-08,2803.07,38,73.76,home_goods,143.95,0.8,1.003,Friday,January,2021,19.472525182354985,False,Friday,1,1
2021-01-09,2875.3,47,61.18,clothing,77.13,0.92,1.003,Saturday,January,2021,37.27862051082588,True,Saturday,1,1
2021-01-10,3967.94,53,74.87,accessories,64.09,0.92,1.003,Sunday,January,2021,61.91199875175534,True,Sunday,1,1
2021-01-11,2163.25,35,61.81,clothing,112.33,0.8,1.004,Monday,January,2021,19.2579898513309,False,Monday,2,1
2021-01-12,2757.41,40,68.94,accessories,122.96,0.8,1.004,Tuesday,January,2021,22.425260247234874,False,Tuesday,2,1
2021-01-13,2657.19,41,64.81,accessories,106.13,0.8,1.005,Wednesday,January,2021,25.03712428154151,False,Wednesday,2,1
2021-01-14,3101.65,41,75.65,accessories,52.54,0.8,1.005,Thursday,January,2021,59.03406928054816,False,Thursday,2,1
2021-01-15,2620.98,45,58.24,home_goods,125.56,0.8,1.005,Friday,January,2021,20.874323032813,False,Friday,2,1
2021-01-16,2822.36,41,68.84,clothing,113.34,0.92,1.006,Saturday,January,2021,24.901711664019764,True,Saturday,2,1
